# Missing ingredients from recipe NLG dataset
#
# Columns: ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
# Categories/subcategories may be NEW (see MISSING_CATEGORIES.txt and MISSING_SUBCATEGORIES.txt).
# Major group: animal | plant | dairy (drives sphere RGB color).
#
ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
absinthe,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
absolut vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
accent salt,Salt & seasonings,Salt,Herbs & spices,plant
accent seasoning,Spice blends,American blends,Herbs & spices,plant
acceptable margarine,Margarine & shortening,Margarine,Fats & oils,plant
achiote oil,Oils,Vegetable oils,Fats & oils,plant
achiote paste,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
achiote seeds,Seeds,Seeds,Nuts & seeds,plant
acorn,Starchy vegetables,Winter squash,Vegetables,plant
active sourdough starter,Bread & baked goods,Bread,Grains,plant
additional cheese,Aged cheese,Aged cheese,Dairy,dairy
additional oil,Oils,Vegetable oils,Fats & oils,plant
additional salt,Salt & seasonings,Salt,Herbs & spices,plant
additional whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
agave,Sweets,Syrup,Sweets,plant
aged cheese,Aged cheese,Aged cheese,Dairy,dairy
aged rum,Alcoholic beverages,Rum,Condiments & sauces,plant
aji amarillo paste,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
ajinomoto,Spice blends,American blends,Herbs & spices,plant
alcoholic cider,Alcoholic beverages,Cider,Condiments & sauces,plant
ale,Alcoholic beverages,Beer,Condiments & sauces,plant
alfalfa sprout,Leafy greens,Sprouts,Vegetables,plant
alfalfa sprouts,Leafy greens,Sprouts,Vegetables,plant
all spice,Spice blends,American blends,Herbs & spices,plant
all-bran,Prepared mixes,Cereals,Grains,plant
all-bran cereal,Prepared mixes,Cereals,Grains,plant
all-purpose baking mix,Prepared mixes,Baking mixes,Grains,plant
all-purpose biscuit baking mix,Bread & baked goods,Biscuits,Grains,plant
all-purpose biscuit mix,Bread & baked goods,Biscuits,Grains,plant
all-purpose seasoning,Spice blends,American blends,Herbs & spices,plant
all-ready pie crust,Bread & baked goods,Pastries,Grains,plant
all-ready pie crusts,Bread & baked goods,Pastries,Grains,plant
alphabet macaroni,Refined grains,Pasta,Grains,plant
alphabet soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
amaretti biscuits,Bread & baked goods,Biscuits,Grains,plant
amaretti cookie,Sweets,Confectionery,Sweets,plant
amaretti cookie crumbs,Sweets,Confectionery,Sweets,plant
amaretti cookies,Sweets,Confectionery,Sweets,plant
amaretto,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
amber beer,Alcoholic beverages,Beer,Condiments & sauces,plant
amber rum,Alcoholic beverages,Rum,Condiments & sauces,plant
american cheese,Processed cheese,Processed cheese,Dairy,dairy
american cheese singles,Processed cheese,Processed cheese,Dairy,dairy
american cheese slice,Processed cheese,Processed cheese,Dairy,dairy
american cheese slices,Processed cheese,Processed cheese,Dairy,dairy
amontillado sherry,Alcoholic beverages,Wine,Condiments & sauces,plant
amontillado sherry wine,Alcoholic beverages,Wine,Condiments & sauces,plant
amount of oil,Oils,Vegetable oils,Fats & oils,plant
amount of salt,Salt & seasonings,Salt,Herbs & spices,plant
amount oil,Oils,Vegetable oils,Fats & oils,plant
amount salt,Salt & seasonings,Salt,Herbs & spices,plant
anaheim,Non-starchy vegetables,Chili peppers,Vegetables,plant
anaheim chile,Non-starchy vegetables,Chili peppers,Vegetables,plant
anaheim chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
anaheim chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
anaheim chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
ancho chile,Non-starchy vegetables,Chili peppers,Vegetables,plant
ancho chile powder,Dried spices,Chili powders,Herbs & spices,plant
ancho chile pwdr,Non-starchy vegetables,Chili peppers,Vegetables,plant
ancho chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
ancho chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
ancho chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
ancho powder,Non-starchy vegetables,Chili peppers,Vegetables,plant
anejo cheese,Aged cheese,Aged cheese,Dairy,dairy
anejo rum,Alcoholic beverages,Rum,Condiments & sauces,plant
anejo tequila,Alcoholic beverages,Tequila,Condiments & sauces,plant
angel,Prepared mixes,Cake mixes,Sweets,plant
angel cake,Prepared mixes,Cake mixes,Sweets,plant
angel food,Prepared mixes,Cake mixes,Sweets,plant
angel food cake,Prepared mixes,Cake mixes,Sweets,plant
angel food cake cubes,Prepared mixes,Cake mixes,Sweets,plant
angel food cake mix,Prepared mixes,Cake mixes,Sweets,plant
angel hair,Refined grains,Pasta,Grains,plant
anise,Dried spices,Whole spices,Herbs & spices,plant
anise extract,Dried spices,Whole spices,Herbs & spices,plant
anise flavor,Dried spices,Whole spices,Herbs & spices,plant
anise flavored liqueur,Dried spices,Whole spices,Herbs & spices,plant
anise flavoring,Dried spices,Whole spices,Herbs & spices,plant
anise liqueur,Dried spices,Whole spices,Herbs & spices,plant
anise oil,Dried spices,Whole spices,Herbs & spices,plant
anise pod,Dried spices,Whole spices,Herbs & spices,plant
anise pods,Dried spices,Whole spices,Herbs & spices,plant
aniseed,Dried spices,Whole spices,Herbs & spices,plant
anisette,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
anisette liqueur,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
annato seeds,Seeds,Seeds,Nuts & seeds,plant
annatto oil,Oils,Vegetable oils,Fats & oils,plant
any cheese,Aged cheese,Aged cheese,Dairy,dairy
any pie filling,Prepared mixes,Pie fillings,Sweets,plant
appenzeller cheese,Aged cheese,Aged cheese,Dairy,dairy
applejack,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
applejack brandy,Alcoholic beverages,Brandy,Condiments & sauces,plant
arbol,Non-starchy vegetables,Chili peppers,Vegetables,plant
arbol chile,Non-starchy vegetables,Chili peppers,Vegetables,plant
arbol chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
arborio,Refined grains,Rice,Grains,plant
armagnac,Alcoholic beverages,Brandy,Condiments & sauces,plant
armour chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
aromatic bitters,Alcoholic beverages,Cocktail mixers,Condiments & sauces,plant
arrowroot,Flours,Starches,Grains,plant
arrowroot cookies,Flours,Starches,Grains,plant
arrowroot pwdr,Flours,Starches,Grains,plant
arrowroot starch,Flours,Starches,Grains,plant
asadero cheese,Aged cheese,Aged cheese,Dairy,dairy
asafetida,Dried spices,Whole spices,Herbs & spices,plant
asafetida powder,Dried spices,Whole spices,Herbs & spices,plant
asian chile paste,Non-starchy vegetables,Chili peppers,Vegetables,plant
asian chili paste,Non-starchy vegetables,Chili peppers,Vegetables,plant
asian dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
asian red chili paste,Non-starchy vegetables,Chili peppers,Vegetables,plant
asian seasoning,Spice blends,American blends,Herbs & spices,plant
asian sesame dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
asian vinaigrette,Condiments & sauces,Salad dressings,Condiments & sauces,plant
asian-style dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
assorted berries,Berries,Berries,Fruits,plant
assorted cheese,Aged cheese,Aged cheese,Dairy,dairy
assorted cracker,Bread & baked goods,Crackers,Grains,plant
aubergine,Non-starchy vegetables,Eggplant,Vegetables,plant
aubergines,Non-starchy vegetables,Eggplant,Vegetables,plant
añejo tequila,Alcoholic beverages,Tequila,Condiments & sauces,plant
baby back ribs,Red meat,Pork,Protein (animal),animal
baby beetroot,Starchy vegetables,Beet,Vegetables,plant
baby calamari,Shellfish,Cephalopods,Protein (animal),animal
baby capers,Pickled vegetables,Capers,Condiments & sauces,plant
baby courgettes,Non-starchy vegetables,Summer squash,Vegetables,plant
baby green peas,Legumes,Peas,Protein (plant),plant
baby leaf salad,Leafy greens,Lettuce,Vegetables,plant
baby lettuce,Leafy greens,Lettuce,Vegetables,plant
baby lettuce leaves,Leafy greens,Lettuce,Vegetables,plant
baby lettuces,Leafy greens,Lettuce,Vegetables,plant
baby oil,Oils,Vegetable oils,Fats & oils,plant
baby peas,Legumes,Peas,Protein (plant),plant
baby rocket,Leafy greens,Arugula,Vegetables,plant
baby romaine,Leafy greens,Lettuce,Vegetables,plant
baby salad greens,Leafy greens,Lettuce,Vegetables,plant
bacardi rum,Alcoholic beverages,Rum,Condiments & sauces,plant
back ribs,Red meat,Pork,Protein (animal),animal
backfin crabmeat,Shellfish,Crab,Protein (animal),animal
bakers angel,Prepared mixes,Cake mixes,Sweets,plant
baking bits,Sweets,Chocolate,Sweets,plant
baking chips,Sweets,Chocolate,Sweets,plant
baking hen,Poultry,Chicken,Protein (animal),animal
baking hens,Poultry,Chicken,Protein (animal),animal
baking mix,Prepared mixes,Baking mixes,Grains,plant
baking mix (,Prepared mixes,Baking mixes,Grains,plant
baking wafers,Sweets,Confectionery,Sweets,plant
balsalmic vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
balsamic,Condiments & sauces,Vinegars,Condiments & sauces,plant
balsamic dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
balsamic glaze,Sweets,Confectionery,Sweets,plant
balsamic reduction,Condiments & sauces,Vinegars,Condiments & sauces,plant
balsamic salad dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
balsamic syrup,Sweets,Syrup,Sweets,plant
balsamic vinager,Condiments & sauces,Vinegars,Condiments & sauces,plant
balsamic vinaigrette,Condiments & sauces,Salad dressings,Condiments & sauces,plant
balsamic vinaigrette dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
balsamic vinaigrette salad dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
balsamic vineger,Condiments & sauces,Vinegars,Condiments & sauces,plant
bamboo sprouts,Leafy greens,Sprouts,Vegetables,plant
banyuls vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
barbecue rub,Spice blends,American blends,Herbs & spices,plant
barbecue rub seasoning,Spice blends,American blends,Herbs & spices,plant
barbecue seasoning,Spice blends,American blends,Herbs & spices,plant
barbeque seasoning,Spice blends,American blends,Herbs & spices,plant
barilla spaghetti,Refined grains,Pasta,Grains,plant
barrel cheese,Aged cheese,Aged cheese,Dairy,dairy
basalmic vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
bases,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
basic vinaigrette,Condiments & sauces,Salad dressings,Condiments & sauces,plant
basmati,Refined grains,Rice,Grains,plant
bass,White fish,Saltwater white fish,Protein (animal),animal
bass fillet,White fish,Saltwater white fish,Protein (animal),animal
bass fillets,White fish,Saltwater white fish,Protein (animal),animal
basting oil,Oils,Vegetable oils,Fats & oils,plant
bay leaves,Dried spices,Dried herbs,Herbs & spices,plant
bay leaves crushed,Dried spices,Dried herbs,Herbs & spices,plant
bay leaves dried,Dried spices,Dried herbs,Herbs & spices,plant
bay leaves ground,Dried spices,Dried herbs,Herbs & spices,plant
bay leaves salt,Salt & seasonings,Salt,Herbs & spices,plant
bay seafood seasoning,Spice blends,American blends,Herbs & spices,plant
bay seasoning,Spice blends,American blends,Herbs & spices,plant
bbq rub,Spice blends,American blends,Herbs & spices,plant
bbq seasoning,Spice blends,American blends,Herbs & spices,plant
beer,Alcoholic beverages,Beer,Condiments & sauces,plant
