id,name,tags,rule
chicken-rice-bowl,Chicken & rice bowl,"dinner,lunch",default main → lunch + dinner
chicken-stir-fry,Chicken stir-fry,"dinner,lunch",default main → lunch + dinner
salmon-plate,Salmon plate,"dinner,lunch",default main → lunch + dinner
sashimi-platter,Sashimi platter,"dinner,lunch",default main → lunch + dinner
tuna-salad,Tuna salad,"dinner,lunch",default main → lunch + dinner
fish-and-chips,Fish and chips,"dinner,lunch",default main → lunch + dinner
shrimp-pasta,Shrimp pasta,"dinner,lunch",default main → lunch + dinner
burger,Burger,"dinner,lunch",default main → lunch + dinner
cheeseburger,Cheeseburger,"dinner,lunch",default main → lunch + dinner
steak-dinner,Steak dinner,"dinner,lunch",default main → lunch + dinner
bacon-and-eggs,Bacon and eggs,breakfast,breakfast
omelet-veg-cheese,Vegetable & cheese omelet,breakfast,breakfast
yogurt-parfait,Yogurt parfait,breakfast,breakfast
berry-smoothie,Berry smoothie,snack,drink → snack
cereal-bowl,Cereal bowl,breakfast,breakfast
oatmeal-berries,Oatmeal with berries,breakfast,breakfast
cheese-plate,Cheese plate,"dinner,lunch",default main → lunch + dinner
greek-salad,Greek salad,"dinner,lunch",default main → lunch + dinner
caesar-salad,Caesar salad,"dinner,lunch",default main → lunch + dinner
hummus-plate,Hummus plate,"dinner,lunch",default main → lunch + dinner
bean-burrito,Bean burrito,"dinner,lunch",default main → lunch + dinner
vegan-bowl,Vegan grain bowl,"dinner,lunch",default main → lunch + dinner
tofu-stir-fry,Tofu stir-fry,"dinner,lunch",default main → lunch + dinner
pb-sandwich,Peanut butter sandwich,"dinner,lunch",default main → lunch + dinner
pasta-red-sauce,Pasta with red sauce,"dinner,lunch",default main → lunch + dinner
fruit-and-nuts,Fruit & nuts,"dinner,lunch",default main → lunch + dinner
pancakes-syrup,Pancakes & syrup,breakfast,breakfast
mac-and-cheese,Mac and cheese,"dinner,lunch",default main → lunch + dinner
cobb-salad,Cobb salad,"dinner,lunch",default main → lunch + dinner
bbq-plate,BBQ plate,"dinner,lunch",default main → lunch + dinner
thanksgiving-plate,Thanksgiving plate,"dinner,lunch",default main → lunch + dinner
biscuits-and-gravy,Biscuits and gravy,breakfast,breakfast
chicken-and-waffles,Chicken and waffles,breakfast,breakfast
club-sandwich,Club sandwich,"dinner,lunch",default main → lunch + dinner
reuben-sandwich,Reuben sandwich,"dinner,lunch",default main → lunch + dinner
buffalo-wings,Buffalo wings,"dinner,lunch",default main → lunch + dinner
chili-con-carne,Chili con carne,"dinner,lunch",default main → lunch + dinner
philly-cheesesteak,Philly cheesesteak,"dinner,lunch",default main → lunch + dinner
meatloaf-mashed-potato,Meatloaf with mashed potato,"dinner,lunch",default main → lunch + dinner
lobster-roll,Lobster roll,"dinner,lunch",default main → lunch + dinner
full-english-breakfast,Full English breakfast,breakfast,breakfast
shepherds-pie,Shepherd's pie,"dinner,lunch",default main → lunch + dinner
bangers-and-mash,Bangers and mash,"dinner,lunch",default main → lunch + dinner
ploughmans-lunch,Ploughman's lunch,"dinner,lunch",default main → lunch + dinner
sunday-roast,Sunday roast,"dinner,lunch",default main → lunch + dinner
scones-cream-jam,Scones with cream and jam,"dinner,lunch",default main → lunch + dinner
beef-wellington,Beef Wellington,"dinner,lunch",default main → lunch + dinner
toad-in-the-hole,Toad in the hole,"dinner,lunch",default main → lunch + dinner
croque-monsieur,Croque-monsieur,"dinner,lunch",default main → lunch + dinner
ratatouille,Ratatouille,"dinner,lunch",default main → lunch + dinner
beef-bourguignon,Beef bourguignon,"dinner,lunch",default main → lunch + dinner
nicoise-salad,Salade niçoise,"dinner,lunch",default main → lunch + dinner
omelette-french,French omelette,breakfast,breakfast
coq-au-vin,Coq au vin,"dinner,lunch",default main → lunch + dinner
bouillabaisse,Bouillabaisse,"dinner,lunch",default main → lunch + dinner
quiche-lorraine,Quiche Lorraine,"dinner,lunch",default main → lunch + dinner
cassoulet,Cassoulet,"dinner,lunch",default main → lunch + dinner
crepes-savory,Savory crêpes,"dinner,lunch",default main → lunch + dinner
caprese,Caprese salad,"dinner,lunch",default main → lunch + dinner
pasta-carbonara,Pasta carbonara,"dinner,lunch",default main → lunch + dinner
pasta-bolognese,Pasta bolognese,"dinner,lunch",default main → lunch + dinner
pesto-pasta,Pesto pasta,"dinner,lunch",default main → lunch + dinner
pasta-amatriciana,Pasta all'amatriciana,"dinner,lunch",default main → lunch + dinner
risotto-mushroom,Mushroom risotto,"dinner,lunch",default main → lunch + dinner
risotto-milanese,Risotto Milanese,"dinner,lunch",default main → lunch + dinner
pizza-margherita,Pizza margherita,"dinner,lunch",default main → lunch + dinner
osso-buco,Osso buco,"dinner,lunch",default main → lunch + dinner
lasagna,Lasagna,"dinner,lunch",default main → lunch + dinner
paella,Paella,"dinner,lunch",default main → lunch + dinner
tortilla-espanola,Tortilla española,"dinner,lunch",default main → lunch + dinner
gazpacho,Gazpacho,"dinner,lunch",default main → lunch + dinner
patatas-bravas,Patatas bravas,"dinner,lunch",default main → lunch + dinner
bacalhau-com-natas,Bacalhau com natas,"dinner,lunch",default main → lunch + dinner
schnitzel,Wiener schnitzel,"dinner,lunch",default main → lunch + dinner
rosti,Rösti,"dinner,lunch",default main → lunch + dinner
sauerbraten,Sauerbraten,"dinner,lunch",default main → lunch + dinner
raclette-platter,Raclette platter,"dinner,lunch",default main → lunch + dinner
muesli-bowl,Muesli bowl,breakfast,breakfast
spaetzle-cheese,Käsespätzle,"dinner,lunch",default main → lunch + dinner
currywurst,Currywurst,"dinner,lunch",default main → lunch + dinner
pierogi-potato-cheese,Pierogi (potato-cheese),"dinner,lunch",default main → lunch + dinner
borscht,Borscht,"dinner,lunch",default main → lunch + dinner
goulash,Goulash,"dinner,lunch",default main → lunch + dinner
blini-caviar,Blini with caviar,"dinner,lunch",default main → lunch + dinner
stuffed-cabbage,Stuffed cabbage rolls,"dinner,lunch",default main → lunch + dinner
smorgasbord-plate,Smörgåsbord plate,"breakfast,lunch",brunch → breakfast + lunch
gravlax-plate,Gravlax plate,"dinner,lunch",default main → lunch + dinner
swedish-meatballs,Swedish meatballs,"dinner,lunch",default main → lunch + dinner
pickled-herring-plate,Pickled herring plate,"dinner,lunch",default main → lunch + dinner
danish-pastry-coffee,Danish pastry & coffee,breakfast,breakfast
moussaka,Moussaka,"dinner,lunch",default main → lunch + dinner
spanakopita,Spanakopita,"dinner,lunch",default main → lunch + dinner
souvlaki-plate,Souvlaki plate,"dinner,lunch",default main → lunch + dinner
kung-pao-chicken,Kung pao chicken,"dinner,lunch",default main → lunch + dinner
sweet-and-sour-pork,Sweet-and-sour pork,"dinner,lunch",default main → lunch + dinner
mapo-tofu,Mapo tofu,"dinner,lunch",default main → lunch + dinner
dim-sum-platter,Dim sum platter,"lunch,snack",tapas → snack + lunch
jiaozi-pork-cabbage,Jiaozi (pork & cabbage),"dinner,lunch",default main → lunch + dinner
xiao-long-bao,Xiao long bao,"dinner,lunch",default main → lunch + dinner
wonton-soup,Wonton soup,"dinner,lunch",default main → lunch + dinner
congee-rice,Congee,breakfast,breakfast
peking-duck,Peking duck,"dinner,lunch",default main → lunch + dinner
lions-head-meatball,Lion's head meatballs,"dinner,lunch",default main → lunch + dinner
yuxiang-eggplant,Yu-xiang eggplant,"dinner,lunch",default main → lunch + dinner
twice-cooked-pork,Twice-cooked pork,"dinner,lunch",default main → lunch + dinner
dan-dan-noodles,Dan dan noodles,"dinner,lunch",default main → lunch + dinner
fried-rice-egg,Egg fried rice,"dinner,lunch",default main → lunch + dinner
char-siu-pork-rice,Char siu pork over rice,"dinner,lunch",default main → lunch + dinner
sichuan-hot-pot,Sichuan hot pot,"dinner,lunch",default main → lunch + dinner
salt-pepper-shrimp,Salt-and-pepper shrimp,"dinner,lunch",default main → lunch + dinner
sushi-nigiri-platter,Sushi nigiri platter,"dinner,lunch",default main → lunch + dinner
ramen-tonkotsu,Ramen (tonkotsu),"dinner,lunch",default main → lunch + dinner
ramen-shoyu,Ramen (shoyu),"dinner,lunch",default main → lunch + dinner
ramen-miso,Ramen (miso),"dinner,lunch",default main → lunch + dinner
donburi-gyudon,Gyudon (beef bowl),"dinner,lunch",default main → lunch + dinner
donburi-oyakodon,Oyakodon,"dinner,lunch",default main → lunch + dinner
donburi-katsudon,Katsudon,"dinner,lunch",default main → lunch + dinner
tempura-platter,Tempura platter,"dinner,lunch",default main → lunch + dinner
okonomiyaki,Okonomiyaki,"dinner,lunch",default main → lunch + dinner
soba-noodles,Soba noodles,"dinner,lunch",default main → lunch + dinner
udon-noodles,Udon noodles,"dinner,lunch",default main → lunch + dinner
tonkatsu-plate,Tonkatsu plate,"dinner,lunch",default main → lunch + dinner
sukiyaki,Sukiyaki,"dinner,lunch",default main → lunch + dinner
shabu-shabu,Shabu-shabu,"dinner,lunch",default main → lunch + dinner
bibimbap,Bibimbap,"dinner,lunch",default main → lunch + dinner
bulgogi-plate,Bulgogi plate,"dinner,lunch",default main → lunch + dinner
kimbap,Kimbap,"dinner,lunch",default main → lunch + dinner
kimchi-jjigae,Kimchi jjigae,"dinner,lunch",default main → lunch + dinner
sundubu-jjigae,Sundubu jjigae,"dinner,lunch",default main → lunch + dinner
korean-bbq,Korean BBQ platter,"dinner,lunch",default main → lunch + dinner
japchae,Japchae,"dinner,lunch",default main → lunch + dinner
samgyetang,Samgyetang,"dinner,lunch",default main → lunch + dinner
tteokbokki,Tteokbokki,"dinner,lunch",default main → lunch + dinner
pad-thai,Pad thai,"dinner,lunch",default main → lunch + dinner
tom-yum-goong,Tom yum goong,"dinner,lunch",default main → lunch + dinner
green-curry-chicken,Green curry chicken,"dinner,lunch",default main → lunch + dinner
red-curry-chicken,Red curry chicken,"dinner,lunch",default main → lunch + dinner
